city,mayor
Louisville,Craig Greenberg
Mesquite,Daniel Alemán Jr.
Woodland,Tania Garcia-Cadena
Gardena,Tasha Cerda
Arvada,Lauren Simpson
Youngs,Jamael Tito Brown
Woonsocket,Lisa Baldelli-Hunt
Mount Laurel,Fozia Janjua
Santa Maria,Alice M. Patino
Virginia Beach,Robert 'Bobby' M. Dyer
Sierra Vista,Clea McCaa
Carlsbad,Keith Blackburn
Buffalo Grovevillage,Not Found
Olympia,Dontae Payne
Salinas,Kimbley Craig
Auburn,Nancy Backus
Delhi,Not Found
University City,Terry Crow
Elizabeth,Elizabeth Becerra
North Providence,Charles A. Lombardi
Portage,Patricia M. Randall
Augusta,Garnett Johnson
East Hartford,Connor Martin
Canton,Anne Marie Graham-Hudak
Providence,Brett P. Smiley
San Leandro,Juan Gonzalez
Long Beach,Rex Richardson
Bowling Green,Todd Alcott
Parsippany- Troy Hills,Not Found
Shelby,Not Found
Hamden,Lauren Garrett
New Brunswick,James Cahill
Clinton,Not Found
Minnetonka,Brad Wiersum
Fort Worth,Mattie Parker
Fort Leeborough,Not Found
Harlingen,Norma Sepulveda
Milford,Anthony S. Giannattasio
Lauderhill,Ken Thurston
West New York,Albio Sires
Dover,Robin R. Christiansen
Brooklyn Park,Hollies J. Winston
Bell,Lynne Robinson
Miami,Francis X. Suarez
Lakeland,H 'Bill' William Mutz
Bartlesville,Dale Copeland
Jonesboro,Harold Copenhaver
Boulder,Aaron Brockett
Bedford,Jon Mitchell
Florence,Teresa Myers Ervin
Colorado Springsdivision,Not Found
Waukesha,Shawn N. Reilly
Marion,Nicolas AbouAssaly
Greeley,John Gates
Muskegon,Ken Johnson
Texarkana,Bob Bruggeman
Sioux City,Bob Scott
Middle,Anthony S. Perry
Fairborn,Daniel R. Kirkpatrick
Pittsfield,Peter M. Marchetti
Enfield,Ken Nelson Jr.
Escondido,Dane White
Gresham,Travis Stovall
Evanston,Daniel Biss
Elk Grove Villagevillage,Not Found
Warner Robins,LaRhonda Patrick
East Providence,Roberto DaSilva
Roswell,Kurt Wilson
Corpus Christi,Paulette M. Guajardo
Charleston,William Cogswell
Lompoc,Jenelle Osborne
New Albany,Jeff M. Gahan
